.	chl_b	chl_c1_c2	chl_c3	perid	19but	fucox	neox	prasinox	violax	19hex	DD_DT	allox	zeax	lutein	dv_chla	chl_a
261	0.012550403	0.134814258	0	0.006520872	0.004009027	0.663051124	0.005623814	0	0	0.005519172	0.495715138	0.0076345	0.024182947	0.002748547	0	1
262	0.004456239	0.068732764	0	0.003225896	0.001913193	0.56221956	0.002709657	0	0	0.004320049	0.521856922	0.007626777	0.008987628	0.002167671	0	1
263	0.006079426	0.095420748	0	0.000521811	0.002029163	0.599468125	0.000795787	0	0	0.004630928	0.39053104	0.006488788	0.008510871	0.001859894	0	1
264	0.00433582	0.082204907	0	0	0.001931508	0.560082539	0	0	0	0.004513317	0.387117627	0.006265668	0.009439666	0.00064732	0	1
265	0.005731131	0.096618035	0	0.00356952	0.002720352	0.621437042	0.001966736	0	0	0.005396976	0.445045811	0.008712105	0.008630356	0.001970016	0	1
266	0.00384142	0.067239929	0	0.001489627	0.004157974	0.471473285	0	0	0	0.009806988	0.568952297	0.00921865	0.011011875	0.001861525	0	1
267	0.0029341	0.062685132	0	0.005377349	0.004693909	0.465405449	0.001467486	0.001437014	0	0.013915508	0.541823044	0.011103194	0.00942287	0.002143316	0	1
268	0.003057968	0.060621414	0	0.003245987	0.003725682	0.461555261	0.000962952	0	0	0.01012203	0.54594044	0.008200386	0.008060365	0.001771066	0	1
269	0.003254567	0.063051171	0	0.003980694	0.004487107	0.478136254	0.001155918	0	0	0.00923047	0.525335874	0.007287391	0.00789819	0.001749405	0	1
270	0	0.078515827	0	0.004437191	0.005420707	0.515712624	0.001578787	0	0	0.015210656	0.561475386	0.016424817	0.022250821	0.002788713	0	1
271	0.004557982	0.070443123	0	0.005135115	0.004928112	0.519728691	0.001527393	0	0	0.015514822	0.548169187	0.019039526	0.026097605	0.002325894	0	1
272	0.004456912	0.074302012	0	0.004674397	0.00437064	0.490676451	0.00127453	0.001736304	0	0.018212115	0.454438107	0.014183336	0.026736693	0.002706923	0	1
273	0.002836699	0.074007508	0	0.004275472	0.005457593	0.501054081	0.002332223	0.002495649	0	0.016712347	0.51687401	0.013439095	0.017265919	0.002673554	0	1
